commit	score	memory_gb	status	problem	description
a1ba205	1.613517	0.0	keep	6_3_in_5	baseline test with Adam optimizer
43e2453	1.613517	0.0	discard	6_3_in_5	increase RUST_ATTEMPTS to 600k
9470194	1.7563012	0.0	keep	4_6_in_8	baseline with analytical gradient optimizer
bf16567	1.7563008	0.0	keep	4_6_in_8	increase RUST_ATTEMPTS to 250k
91432e7	1.7563006	0.0	keep	4_6_in_8	increase RUST_ATTEMPTS to 400k
9f90583	1.9870768	0.0	keep	5_6_in_8	baseline with analytical gradient optimizer
7e86a01	1.9870794	0.0	discard	5_6_in_8	increase RUST_ATTEMPTS to 300k
56f1608	1.9870788	0.0	discard	5_6_in_8	increase RUST_ATTEMPTS to 500k
c0f75cf	2.3229407	0.0	keep	6_5_in_6	baseline with analytical gradient optimizer
f51f585	2.3229451	0.0	discard	6_5_in_6	increase RUST_ATTEMPTS to 300k
4d570ea	2.1539174	0.0	keep	8_4_in_6	baseline with analytical gradient optimizer
e84778f	2.1539806	0.0	discard	8_4_in_6	increase RUST_ATTEMPTS to 500k
63ce592	3.8830248	0.0	keep	6_5_in_4	baseline with analytical gradient optimizer
53aa473	3.8830304	0.0	discard	6_5_in_4	increase RUST_ATTEMPTS to 300k
f9e407a	1.6129894	0.0	keep	6_3_in_5	baseline with analytical gradient optimizer
bd12299	1.6127718	0.0	keep	6_3_in_5	increase RUST_ATTEMPTS to 300k
8bbdbe8	1.6127718	0.0	discard	6_3_in_5	increase RUST_ATTEMPTS to 400k
1ed90dd	2.2802589	0.0	keep	12_3_in_5	baseline with analytical gradient optimizer
c67b1b3	2.2807284	0.0	discard	12_3_in_5	increase RUST_ATTEMPTS to 300k
f8fb4e4	1.8629983	0.0	keep	8_3_in_5	baseline with analytical gradient optimizer
auto	0.9999184350601231	0.0	keep	1_3_in_3	Auto run attempts=1000
auto	3.0151615489897288	0.0	keep	4_6_in_5	Auto run attempts=2000
auto	3.0151615489897288	0.0	discard	4_6_in_5	Auto run attempts=2000
auto	3.0152269370217324	0.0	discard	4_6_in_5	Auto run attempts=2000
auto	2.465911549324087	0.0	keep	2_6_in_5	Auto run attempts=2000
auto	3.3560717428343176	0.0	keep	2_8_in_5	Auto run attempts=2000
auto	3.744133006793236	0.0	keep	3_8_in_5	Auto run attempts=2000
auto	2.742837139438206	0.0	keep	3_6_in_5	Auto run attempts=2000
auto	1.6064519097368366	0.0	keep	3_6_in_8	Auto run attempts=2000
auto	3.744131632294112	0.0	keep	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	keep	3_6_in_5	Auto run attempts=5000
auto	4.101263596036302	0.0	keep	4_8_in_5	Auto run attempts=2000
auto	1.6064518065238693	0.0	keep	3_6_in_8	Auto run attempts=5000
auto	1.9870877690502582	0.0	discard	5_6_in_8	Auto run attempts=2000
auto	3.015219978066057	0.0	discard	4_6_in_5	Auto run attempts=5000
auto	3.6289381872426887	0.0	keep	9_6_in_6	Auto run attempts=10000
auto	2.164378317225257	0.0	keep	6_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	1.6064518065238693	0.0	discard	3_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	4.1012610892265275	0.0	keep	4_8_in_5	Auto run attempts=5000
auto	1.6064518065238693	0.0	discard	3_6_in_8	Auto run attempts=5000
auto	1.9870877690502582	0.0	discard	5_6_in_8	Auto run attempts=5000
auto	3.015219978066057	0.0	discard	4_6_in_5	Auto run attempts=5000
auto	3.628935545351786	0.0	keep	9_6_in_6	Auto run attempts=10000
auto	2.1643635287453797	0.0	keep	6_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	1.6064518065238693	0.0	discard	3_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	4.1012610892265275	0.0	discard	4_8_in_5	Auto run attempts=5000
auto	1.6064518065238693	0.0	discard	3_6_in_8	Auto run attempts=5000
auto	1.9870877690502582	0.0	discard	5_6_in_8	Auto run attempts=5000
auto	3.015219978066057	0.0	discard	4_6_in_5	Auto run attempts=5000
auto	3.6289387190497373	0.0	discard	9_6_in_6	Auto run attempts=10000
auto	2.1643635287453797	0.0	discard	6_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	1.6064518065238693	0.0	discard	3_6_in_8	Auto run attempts=5000
auto	3.744131632294112	0.0	discard	3_8_in_5	Auto run attempts=5000
auto	2.742826175682922	0.0	discard	3_6_in_5	Auto run attempts=5000
auto	4.1012610892265275	0.0	discard	4_8_in_5	Auto run attempts=5000
auto	4.1492118237956745	0.0	keep	8_6_in_5	Auto run attempts=10000
auto	6.05047071874171	0.0	keep	9_8_in_5	Auto run attempts=100
auto	3.9430750834645236	0.0	keep	11_6_in_6	Auto run attempts=10000
auto	2.767933702382454	0.0	keep	10_6_in_8	Auto run attempts=10000
auto	4.101597380040266	0.0	discard	4_8_in_5	Auto run attempts=5000
auto	4.157344301738447	0.0	discard	8_6_in_5	Auto run attempts=10000
auto	2.6435172336221453	0.0	keep	9_6_in_8	Auto run attempts=10000
auto	2.666628487560574	0.0	keep	5_6_in_6	Auto run attempts=5000
auto	3.7370363216596365	0.0	keep	10_6_in_6	Auto run attempts=10000
auto	2.869746533171968	0.0	keep	11_6_in_8	Auto run attempts=10000
auto	3.551443871957106	0.0	keep	6_6_in_5	Auto run attempts=5000
auto	2.1659813145507174	0.0	discard	6_6_in_8	Auto run attempts=5000
auto	5.981470840585326	0.0	keep	9_8_in_5	Auto run attempts=10000
auto	4.34440516599146	0.0	keep	9_6_in_5	Auto run attempts=10000
auto	6.295140264885341	0.0	keep	10_8_in_5	Auto run attempts=10000
auto	5.256554068205588	0.0	keep	7_8_in_5	Auto run attempts=5000
auto	5.620301379188071	0.0	keep	8_8_in_5	Auto run attempts=10000
auto	4.157344301738447	0.0	discard	8_6_in_5	Auto run attempts=10000
auto	2.6435172336221453	0.0	discard	9_6_in_8	Auto run attempts=10000
auto	2.666628487560574	0.0	discard	5_6_in_6	Auto run attempts=5000
auto	3.657455572403886	0.0	discard	9_6_in_6	Auto run attempts=10000
auto	3.9418345010262885	0.0	keep	11_6_in_6	Auto run attempts=10000
auto	2.767933702382454	0.0	discard	10_6_in_8	Auto run attempts=10000
auto	4.586738396690827	0.0	keep	10_6_in_5	Auto run attempts=10000
auto	1.7562837004469616	0.0	keep	4_6_in_8	Auto run attempts=5000
auto	3.7370363216596365	0.0	discard	10_6_in_6	Auto run attempts=10000
auto	3.2204833916000335	0.0	keep	5_6_in_5	Auto run attempts=5000
auto	3.3147499620614598	0.0	keep	8_6_in_6	Auto run attempts=10000
auto	2.869746533171968	0.0	discard	11_6_in_8	Auto run attempts=10000
auto	3.551443871957106	0.0	discard	6_6_in_5	Auto run attempts=5000
auto	2.1659813145507174	0.0	discard	6_6_in_8	Auto run attempts=5000
auto	5.981470840585326	0.0	discard	9_8_in_5	Auto run attempts=10000
auto	4.34440516599146	0.0	discard	9_6_in_5	Auto run attempts=10000
auto	6.318188217306871	0.0	discard	10_8_in_5	Auto run attempts=10000
auto	5.256554068205588	0.0	discard	7_8_in_5	Auto run attempts=5000
auto	5.620301379188071	0.0	discard	8_8_in_5	Auto run attempts=10000
auto	4.157344301738447	0.0	discard	8_6_in_5	Auto run attempts=10000
auto	2.6435172336221453	0.0	discard	9_6_in_8	Auto run attempts=10000
auto	3.80240236321914	0.0	keep	7_6_in_5	Auto run attempts=5000
auto	2.666628487560574	0.0	discard	5_6_in_6	Auto run attempts=5000
auto	3.657455572403886	0.0	discard	9_6_in_6	Auto run attempts=10000
auto	3.9430750834645236	0.0	discard	11_6_in_6	Auto run attempts=10000
auto	2.767933702382454	0.0	discard	10_6_in_8	Auto run attempts=10000
auto	4.586738396690827	0.0	discard	10_6_in_5	Auto run attempts=10000
auto	1.7562837004469616	0.0	discard	4_6_in_8	Auto run attempts=5000
auto	3.7370363216596365	0.0	discard	10_6_in_6	Auto run attempts=10000
auto	3.2204833916000335	0.0	discard	5_6_in_5	Auto run attempts=5000
auto	3.3147499620614598	0.0	discard	8_6_in_6	Auto run attempts=10000
auto	6.482921070776286	0.0	keep	11_8_in_5	Auto run attempts=10000
auto	2.869746533171968	0.0	discard	11_6_in_8	Auto run attempts=10000
auto	3.551443871957106	0.0	discard	6_6_in_5	Auto run attempts=5000
auto	5.981470840585326	0.0	discard	9_8_in_5	Auto run attempts=10000
auto	4.770572805257783	0.0	keep	6_8_in_5	Auto run attempts=5000
auto	4.34440516599146	0.0	discard	9_6_in_5	Auto run attempts=10000
auto	3.09741608386456	0.0	keep	13_6_in_8	Auto run attempts=10000
auto	6.295140264885341	0.0	discard	10_8_in_5	Auto run attempts=10000
auto	5.256554068205588	0.0	discard	7_8_in_5	Auto run attempts=5000
auto	2.666678387864216	0.0	discard	5_6_in_6	Auto run attempts=1000
auto	5.63126721247686	0.0	discard	8_8_in_5	Auto run attempts=50
auto	4.1868621539967386	0.0	discard	8_6_in_5	Auto run attempts=200
auto	2.6792630612662935	0.0	discard	9_6_in_8	Auto run attempts=120
auto	3.8193272322910725	0.0	discard	7_6_in_5	Auto run attempts=50
auto	3.6492750595215986	0.0	discard	9_6_in_6	Auto run attempts=500
auto	3.9362699149929097	0.0	keep	11_6_in_6	Auto run attempts=500
auto	2.7446080738430743	0.0	keep	10_6_in_8	Auto run attempts=500
auto	7.8073003743021765	0.0	keep	11_6_in_5	Auto run attempts=500
auto	6.71938110679768	0.0	keep	12_8_in_5	Auto run attempts=500
auto	4.678135881223721	0.0	discard	10_6_in_5	Auto run attempts=500
auto	4.33817209229885	0.0	keep	5_8_in_5	Auto run attempts=500
auto	1.7563013757597399	0.0	discard	4_6_in_8	Auto run attempts=500
auto	6.332218102502023	0.0	discard	10_6_in_6	Auto run attempts=800
auto	3.5396202975495186	0.0	discard	5_6_in_5	Auto run attempts=500
auto	3.314477169278608	0.0	keep	8_6_in_6	Auto run attempts=500
auto	10.200729524728695	0.0	discard	11_8_in_5	Auto run attempts=500
auto	3.284144430190815	0.0	keep	15_6_in_8	Auto run attempts=500
604218f	3.2841715532928952	0.0	discard	15_6_in_8	Auto 15_6_in_8 attempts=2000 no improve
d42c557	3.0724251058134984	0.0	keep	13_6_in_8	Auto 13_6_in_8 improve over 3.0974
auto	1.8630702536974426	0.0	discard	8_3_in_5	Auto run attempts=50
auto	1.864683142075156	0.0	discard	8_3_in_5	Auto run attempts=50
auto	1.8647878955649861	0.0	discard	8_3_in_5	Auto run attempts=50
auto	1.8661277294537264	0.0	discard	8_3_in_5	Auto run attempts=5
auto	4.154707933020684	0.0	keep	4_4_in_3	Parallel run loop
auto	5.154752352831597	0.0	keep	7_4_in_3	Parallel run loop
auto	1.6123349279510846	0.0	keep	6_3_in_5	Parallel run loop
auto	1.4783979251891741	0.0	keep	3_3_in_4	Parallel run loop
auto	2.2843323027186626	0.0	discard	12_3_in_5	Parallel run loop
auto	4.30942692978523	0.0	keep	5_4_in_3	Parallel run loop
auto	3.491959014509597	0.0	keep	3_6_in_4	Parallel run loop
auto	5.309651875366746	0.0	keep	8_4_in_3	Parallel run loop
auto	4.438938361146937	0.0	keep	5_6_in_4	Parallel run loop
auto	3.2320649913102013	0.0	keep	3_4_in_3	Parallel run loop
auto	4.815183322352559	0.0	keep	6_6_in_4	Parallel run loop
auto	6.154783759677939	0.0	keep	11_4_in_3	Parallel run loop
auto	2.9772326063708436	0.0	keep	6_3_in_3	Parallel run loop
auto	1.5925243467289931	0.0	keep	4_3_in_4	Parallel run loop
auto	6.105017969064268	0.0	keep	10_6_in_4	Parallel run loop
auto	6.310019702504776	0.0	keep	12_4_in_3	Parallel run loop
auto	1.6200680717530058	0.0	discard	6_3_in_5	Parallel run loop
auto	1.3242755807730342	0.0	keep	4_3_in_5	Parallel run loop
auto	6.333631309387911	0.0	keep	11_6_in_4	Parallel run loop
auto	2.2831198708975147	0.0	discard	12_3_in_5	Parallel run loop
auto	7.15750196563385	0.0	keep	16_4_in_3	Parallel run loop
auto	1.7498735144668087	0.0	keep	7_3_in_5	Parallel run loop
auto	1.986413371159551	0.0	keep	9_3_in_5	Parallel run loop
auto	7.310131457947138	0.0	keep	17_4_in_3	Parallel run loop
auto	5.392015471377237	0.0	keep	9_4_in_3	Parallel run loop
auto	1.948944984673332	0.0	discard	6_3_in_4	Parallel run loop
auto	1.5837110595166848	0.0	keep	4_3_in_4	Parallel run loop
auto	2.389659079584457	0.0	keep	9_3_in_4	Parallel run loop
auto	6.764428342593895	0.0	keep	13_6_in_4	Parallel run loop
auto	4.3094996669154355	0.0	keep	6_4_in_3	Parallel run loop
auto	6.464378013276984	0.0	keep	13_4_in_3	Parallel run loop
auto	1.3242755807730342	0.0	discard	4_3_in_5	Parallel run loop
auto	3.7250037826503797	0.0	keep	4_6_in_4	Parallel run loop
auto	2.293712589121678	0.0	discard	12_3_in_5	Parallel run loop
auto	2.105101180188391	0.0	keep	7_3_in_4	Parallel run loop
auto	1.986413371159551	0.0	discard	9_3_in_5	Parallel run loop
auto	1.7498735144668087	0.0	discard	7_3_in_5	Parallel run loop
auto	7.682872437703093	0.0	keep	17_6_in_4	Parallel run loop
auto	1.5854776416978478	0.0	discard	4_3_in_4	Parallel run loop
auto	5.313726164808948	0.0	keep	9_4_in_3	Parallel run loop
auto	2.389659079584457	0.0	discard	9_3_in_4	Parallel run loop
auto	1.948944984673332	0.0	discard	6_3_in_4	Parallel run loop
auto	6.388384628405314	0.0	keep	12_6_in_4	Parallel run loop
auto	2.0841937579647527	0.0	keep	10_3_in_5	Parallel run loop
auto	1.3242755807730342	0.0	discard	4_3_in_5	Parallel run loop
auto	6.464378013276984	0.0	discard	13_4_in_3	Parallel run loop
auto	2.105101180188391	0.0	discard	7_3_in_4	Parallel run loop
auto	2.5189218409294862	0.0	keep	10_3_in_4	Parallel run loop
auto	8.155007596594247	0.0	keep	22_4_in_3	Parallel run loop
auto	1.986413371159551	0.0	discard	9_3_in_5	Parallel run loop
auto	8.43048885754377	0.0	keep	21_6_in_4	Parallel run loop
auto	2.7446635859551374	0.0	keep	12_3_in_4	Parallel run loop
auto	7.7379955374790645	0.0	keep	18_6_in_4	Parallel run loop
auto	1.583711059565369	0.0	discard	4_3_in_4	Parallel run loop
auto	8.583374246046413	0.0	keep	22_6_in_4	Parallel run loop
auto	7.471317325000314	0.0	keep	19_4_in_3	Parallel run loop
auto	7.929378074021842	0.0	keep	19_6_in_4	Parallel run loop
auto	8.472237346101952	0.0	keep	23_4_in_3	Parallel run loop
auto	2.2397815410677104	0.0	keep	8_3_in_4	Parallel run loop
auto	5.518597387761732	0.0	keep	9_6_in_4	Parallel run loop
auto	6.964000014504972	0.0	keep	15_6_in_4	Parallel run loop
auto	9.310827711934628	0.0	keep	29_4_in_3	Parallel run loop
auto	7.626450925723101	0.0	keep	20_4_in_3	Parallel run loop
auto	7.465594074136727	0.0	keep	18_4_in_3	Parallel run loop
auto	3.729640593560089	0.0	keep	11_3_in_3	Parallel run loop
auto	9.541643379937524	0.0	keep	30_4_in_3	Parallel run loop
auto	7.321045141554854	0.0	keep	16_6_in_4	Parallel run loop
auto	8.661852189412814	0.0	keep	23_6_in_4	Parallel run loop
auto	2.6298733853627354	0.0	keep	11_3_in_4	Parallel run loop
auto	9.083749787439356	0.0	keep	25_6_in_4	Parallel run loop
auto	8.620168250920733	0.0	keep	25_4_in_3	Parallel run loop
auto	5.46460145615038	0.0	keep	10_4_in_3	Parallel run loop
auto	3.881099749755177	0.0	keep	12_3_in_3	Parallel run loop
auto	8.591953675831972	0.0	keep	24_4_in_3	Parallel run loop
auto	6.467078494287158	0.0	keep	14_4_in_3	Parallel run loop
auto	9.255840516534487	0.0	keep	26_6_in_4	Parallel run loop
auto	7.606741618201064	0.0	keep	17_6_in_4	Parallel run loop
auto	2.184012389940221	0.0	keep	11_3_in_5	Parallel run loop
auto	1.7415210527927882	0.0	keep	7_3_in_5	Parallel run loop
auto	8.812109068402295	0.0	keep	24_6_in_4	Parallel run loop
auto	2.464510295907062	0.0	keep	14_3_in_5	Parallel run loop
auto	2.374406362007358	0.0	keep	13_3_in_5	Parallel run loop
auto	6.464800161899369	0.0	discard	13_4_in_3	Parallel run loop
auto	2.095052900818078	0.0	keep	7_3_in_4	Parallel run loop
auto	1.3168226749548522	0.0	keep	4_3_in_5	Parallel run loop
auto	2.082961462235238	0.0	keep	10_3_in_5	Parallel run loop
auto	2.377142364865082	0.0	keep	9_3_in_4	Parallel run loop
auto	3.0756382885430744	0.0	keep	15_3_in_4	Parallel run loop
auto	2.5058708098095974	0.0	keep	10_3_in_4	Parallel run loop
auto	1.5837110595400408	0.0	discard	4_3_in_4	Parallel run loop
auto	2.627063518387486	0.0	keep	11_3_in_4	Parallel run loop
auto	1.9746278835054172	0.0	keep	9_3_in_5	Parallel run loop
auto	1.9403160823204826	0.0	keep	6_3_in_4	Parallel run loop
auto	8.469703524678517	0.0	keep	23_4_in_3	Parallel run loop
auto	8.43048885754377	0.0	discard	21_6_in_4	Parallel run loop
auto	8.774947412252958	0.0	keep	26_4_in_3	Parallel run loop
auto	7.387955541169579	0.0	keep	18_4_in_3	Parallel run loop
auto	2.240492604517753	0.0	discard	8_3_in_4	Parallel run loop
auto	3.731855633710615	0.0	discard	11_3_in_3	Parallel run loop
auto	2.7441016751651715	0.0	keep	12_3_in_4	Parallel run loop
auto	7.730063257741899	0.0	keep	18_6_in_4	Parallel run loop
auto	9.492725968698753	0.0	keep	27_6_in_4	Parallel run loop
auto	9.31330480896625	0.0	discard	29_4_in_3	Parallel run loop
auto	4.000031403723894	0.0	keep	13_3_in_3	Parallel run loop
auto	3.1825511289968693	0.0	keep	16_3_in_4	Parallel run loop
auto	9.778001675551085	0.0	keep	33_4_in_3	Parallel run loop
auto	3.5000315615295814	0.0	keep	10_3_in_3	Parallel run loop
auto	9.399512651983235	0.0	keep	30_4_in_3	Parallel run loop
auto	1.4722107410112513	0.0	keep	5_3_in_5	Parallel run loop
auto	2.9700707477962434	0.0	keep	14_3_in_4	Parallel run loop
auto	9.118021638826727	0.0	discard	25_6_in_4	Parallel run loop
auto	8.007004166810876	0.0	keep	20_6_in_4	Parallel run loop
auto	9.749653181334807	0.0	keep	32_4_in_3	Parallel run loop
auto	8.620168250920733	0.0	discard	25_4_in_3	Parallel run loop
auto	1.7415210279474596	0.0	keep	7_3_in_5	Parallel run loop
auto	3.2946279876108426	0.0	keep	17_3_in_4	Parallel run loop
auto	2.1840418155567236	0.0	discard	11_3_in_5	Parallel run loop
auto	2.3758528333735964	0.0	discard	13_3_in_5	Parallel run loop
auto	10.260221039654585	0.0	keep	37_4_in_3	Parallel run loop
auto	8.591953675831972	0.0	discard	24_4_in_3	Parallel run loop
auto	9.617379286828163	0.0	keep	31_4_in_3	Parallel run loop
auto	9.255840516534487	0.0	discard	26_6_in_4	Parallel run loop
auto	2.0820842883643	0.0	keep	10_3_in_5	Parallel run loop
auto	10.549071817935308	0.0	keep	38_4_in_3	Parallel run loop
auto	6.4650137242969805	0.0	discard	13_4_in_3	Parallel run loop
auto	2.4692645311271075	0.0	discard	14_3_in_5	Parallel run loop
auto	2.3762137055500516	0.0	keep	9_3_in_4	Parallel run loop
auto	2.0950533698910805	0.0	discard	7_3_in_4	Parallel run loop
auto	1.316465955982415	0.0	keep	4_3_in_5	Parallel run loop
auto	2.6300157532099484	0.0	discard	11_3_in_4	Parallel run loop
auto	2.5043480808823873	0.0	keep	10_3_in_4	Parallel run loop
auto	1.974804180727665	0.0	discard	9_3_in_5	Parallel run loop
auto	1.9410712661561413	0.0	discard	6_3_in_4	Parallel run loop
auto	8.419120872869083	0.0	keep	23_4_in_3	Parallel run loop
auto	3.0748670530215465	0.0	keep	15_3_in_4	Parallel run loop
auto	1.5837110595697916	0.0	discard	4_3_in_4	Parallel run loop
auto	8.774947412252958	0.0	discard	26_4_in_3	Parallel run loop
auto	2.240316421306101	0.0	discard	8_3_in_4	Parallel run loop
auto	8.43048885754377	0.0	discard	21_6_in_4	Parallel run loop
auto	7.763371982027166	0.0	discard	18_6_in_4	Parallel run loop
auto	2.744823742705364	0.0	discard	12_3_in_4	Parallel run loop
auto	3.731855633710615	0.0	discard	11_3_in_3	Parallel run loop
auto	7.4645934216366685	0.0	discard	18_4_in_3	Parallel run loop
auto	9.163796204927412	0.0	keep	29_4_in_3	Parallel run loop
auto	9.474361225301514	0.0	keep	27_6_in_4	Parallel run loop
auto	4.00002044007012	0.0	keep	13_3_in_3	Parallel run loop
auto	9.471820892670447	0.0	discard	30_4_in_3	Parallel run loop
auto	1.4733516403747606	0.0	discard	5_3_in_5	Parallel run loop
auto	3.6853889412996548	0.0	keep	21_3_in_4	Parallel run loop
auto	2.9663431825413	0.0	keep	14_3_in_4	Parallel run loop
auto	6.589001389609748	0.0	keep	15_4_in_3	Parallel run loop
auto	9.100998092955923	0.0	discard	25_6_in_4	Parallel run loop
auto	3.5931194064645244	0.0	keep	20_3_in_4	Parallel run loop
auto	1.7415207651656734	0.0	keep	7_3_in_5	Parallel run loop
auto	3.183971187774579	0.0	discard	16_3_in_4	Parallel run loop
auto	8.089384994607542	0.0	discard	20_6_in_4	Parallel run loop
auto	3.275549959754686	0.0	keep	17_3_in_4	Parallel run loop
auto	2.1839987480474385	0.0	keep	11_3_in_5	Parallel run loop
auto	8.627146868055858	0.0	discard	25_4_in_3	Parallel run loop
auto	2.0822363628735716	0.0	discard	10_3_in_5	Parallel run loop
auto	8.568395832409651	0.0	keep	24_4_in_3	Parallel run loop
auto	9.784109077071728	0.0	discard	33_4_in_3	Parallel run loop
auto	2.3768802840970196	0.0	discard	13_3_in_5	Parallel run loop
auto	6.3985247233180775	0.0	keep	13_4_in_3	Parallel run loop
auto	9.255840516534487	0.0	discard	26_6_in_4	Parallel run loop
auto	9.748219324694178	0.0	keep	32_4_in_3	Parallel run loop
auto	2.37693198531253	0.0	discard	9_3_in_4	Parallel run loop
auto	1.3164659559825578	0.0	discard	4_3_in_5	Parallel run loop
auto	2.4666251792462393	0.0	discard	14_3_in_5	Parallel run loop
